title,link
Nyt jäitä hattuun yli puolue- ja aaterajojen – poliittinen väkivalta on tuomittava Suomessa ja somessa,https://www.mtvuutiset.fi/artikkeli/kommentti-nyt-jaita-hattuun-yli-puolue-ja-aaterajojen-poliittinen-vakivalta-on-tuomittava-suomessa-ja-somessa/9066900
"SDP:n Lindtman: Poliitikkohyökkäyksiin puututtava – ""Tapauksia jo aika paljon""",https://www.mtvuutiset.fi/artikkeli/sdp-n-lindtman-poliitikkohyokkayksiin-puututtava-tapauksia-jo-aika-paljon/9066894
TE-toimistot lakkautetaan – näin historiallinen jättiuudistus vaikuttaa työttömään,https://www.mtvuutiset.fi/artikkeli/te-toimistot-lakkautetaan-nain-historiallinen-jattiuudistus-vaikuttaa-tyottomaan/9066886
Rekka-auto oli äärimmäisen lähellä kolaroida henkilöautoilijan kanssa,https://www.mtvuutiset.fi/videot/video/prog20895431
Kansanedustaja Krista Kiurun kimppuun hyökättiin – tämä tapauksesta tiedetään,https://www.mtvuutiset.fi/videot/video/prog20895213
Venäjä iski laajasti Ukrainan energiajärjestelmään,https://www.mtvuutiset.fi/videot/video/prog20895111
"Viikonloppuna Suomi jakautuu kahtia – etelään sateita, pohjoiseen hurjia pakkasia",https://www.mtvuutiset.fi/videot/video/prog20894950
"Tutkijoilta vakava varoitus niin sanotun peilikuvaelämän kehittämisestä: ""Ennennäkemätön vaara""",https://www.mtvuutiset.fi/artikkeli/tutkijoilta-vakava-varoitus-niin-sanotun-peilikuvaelaman-kehittamisesta-ennennakematon-vaara/9066580
"Moni turvakotia tarvitseva sinnittelee joulupyhien yli – ""Jospa tämä joulu onnistuisi""",https://www.mtvuutiset.fi/artikkeli/moni-turvakotia-tarvitseva-sinnittelee-joulupyhien-yli-jospa-tama-joulu-onnistuisi/9066902
Puolustusministeri: Kriisiin varautuminen jokaisen kansalaisvelvollisuus,https://www.mtvuutiset.fi/artikkeli/puolustusministeri-kriisiin-varautuminen-jokaisen-kansalaisvelvollisuus/9066862
Huomenta Suomi: Vieraana Eva-Riitta Siitonen. Luvassa vinkit piparkakkutalon rakentamiseen. Sohville istahtavat myös Salkkareiden konkarinäyttelijät Inkeri Mertanen ja Teemu Lehtilä,https://www.mtvuutiset.fi/videot/video/prog20025962
"Jari-Matti Latvala avasi suunsa Enni Mälkönen -kohusta: ""Totta kai me olemme ehdottaneet""",https://www.mtvuutiset.fi/artikkeli/jari-matti-latvala-avasi-suunsa-enni-malkonen-kohusta-totta-kai-me-olemme-ehdottaneet/9066874
"Petri Kontiolalta jyrkkää tekstiä valmentajien poissaoloista: ""Hiiret alkavat hyppiä pöydällä""",https://www.mtvuutiset.fi/artikkeli/petri-kontiolalta-jyrkkaa-tekstia-valmentajien-poissaoloista-hiiret-alkavat-hyppia-poydalla/9066906
Veikkaus otti ”pahasti takkiin” SM-liigan riskiotteluista – HIFK:n murskatappiosta melkoinen seuraus,https://www.mtvuutiset.fi/artikkeli/veikkaus-otti-pahasti-takkiin-sm-liigan-riskiotteluista-hifk-n-murskatappiosta-melkoinen-seuraus/9066564
"MM-rallin pisteuudistuksessa yksi huolenaihe: ""Sitä alkaa olla mahdoton kiriä""",https://www.mtvuutiset.fi/artikkeli/mm-rallin-pisteuudistuksessa-yksi-huolenaihe-sita-alkaa-olla-mahdoton-kiria/9066000
"Petri Kontiola paljastaa: Rikard Grönborg otti luulot pois Tapparassa – ""Jos ei maistu, niin...""",https://www.mtvuutiset.fi/artikkeli/petri-kontiola-paljastaa-rikard-gronborg-otti-luulot-pois-tapparassa-jos-ei-maistu-niin/9066308
Kansanedustaja Krista Kiurua pahoinpidellyttä miestä ei ole tavoitettu,https://www.mtvuutiset.fi/artikkeli/kansanedustaja-krista-kiurua-pahoinpidellytta-miesta-ei-ole-tavoitettu/9066910
Turvallisuusjohtaja: Kansanedustajat voivat liikkua turvallisesti julkisilla paikoilla – vasemmistosta Halla-aholle kritiikkiä,https://www.mtvuutiset.fi/artikkeli/turvallisuusjohtaja-kansanedustajat-voivat-liikkua-turvallisesti-julkisilla-paikoilla-vasemmistosta-halla-aholle-kritiikkia/9066918
"Krista Kiuru kommentoi järkyttävää tilannetta: ""Kiitos kaikille huolenpidosta""",https://www.mtvuutiset.fi/artikkeli/krista-kiuru-kommentoi-jarkyttavaa-tilannetta-kiitos-kaikille-huolenpidosta/9066832
"Krista Kiurun kimppuun hyökkääminen järkyttää: ""Vastenmielistä, raukkamaista""",https://www.mtvuutiset.fi/artikkeli/krista-kiurun-kimppuun-hyokkaaminen-jarkyttaa-vastenmielista-raukkamaista/9066756
Tällaista väkivaltaa poliitikot ovat Suomessa kohdanneet,https://www.mtvuutiset.fi/artikkeli/tallaista-vakivaltaa-poliitikot-ovat-suomessa-kohdanneet/9066784
"Todella helppo ja supersuosittu salaatti joulupöytään: ""Valmistuu muutamassa minuutissa""",https://www.mtvuutiset.fi/makuja/artikkeli/todella-helppo-ja-supersuosittu-salaatti-joulupoytaan-valmistuu-muutamassa-minuutissa/9052470
